"證券代號","證券名稱","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","漲跌幅"
"01007T","兆豐國泰R2","34000","569100.0","16.69","17.13","16.69","17.05","0.39","6"," 2.34"
"00641R","富邦日本反1","899000","5881970.0","6.54","6.56","6.51","6.56","0.13","153"," 2.02"
"00680L","元大美債20正2","46395000","4.1432349E8","8.91","8.95","8.91","8.94","0.14","4248"," 1.59"
"02001L","富邦蘋果正二N","55000","1528030.0","27.67","28.0","27.59","27.93","0.39","17"," 1.42"
"00688L","國泰20年美債正2","27340000","2.4295617E8","8.87","8.91","8.87","8.88","0.12","2212"," 1.37"
