證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2539","櫻花建","217000","15893400","72.50","73.90","72.50","73.10","0.2000","159"
"2540","愛山林","2856000","539715000","196.50","197.50","180.50","182.00","-14.0000","1872"
"2542","興富發","24027000","1257672600","52.40","53.50","51.40","52.10","0.5000","10259"
"2543","皇昌","3362000","165184150","50.90","50.90","48.50","48.80","-0.8500","1996"
"2545","皇翔","774000","44551600","57.60","58.30","57.00","57.10","-0.8000","450"
"2546","根基","298000","28309200","96.50","96.50","94.50","94.50","-1.1000","219"
"2547","日勝生","3144000","34893500","11.20","11.25","11.00","11.05","-0.1000","770"
"2548","華固","2927000","545574000","185.50","189.00","183.50","186.00","0.5000","2150"
"2597","潤弘","405000","76463000","194.00","194.00","187.00","187.00","-4.5000","353"
"2601","益航","2089000","16867510","8.10","8.13","8.04","8.05","-0.0800","792"
"2603","長榮","29297000","5852309500","200.00","203.50","197.00","200.00","1.0000","13254"
"2605","新興","5302000","162058800","30.90","30.95","30.25","30.45","-0.3500","2806"
"2606","裕民","6927000","386136900","56.70","56.70","55.20","55.80","-0.5000","3496"
"2607","榮運","1977000","63057500","32.10","32.20","31.80","31.90","-0.2000","1190"
"2608","嘉里大榮","1865000","84367250","45.25","45.40","45.05","45.40","0.2500","897"
"2609","陽明","105843000","7862341300","75.80","75.80","73.00","73.70","-1.7000","44870"
"2610","華航","20673000","474333550","23.20","23.20","22.85","22.95","-0.0500","6141"
"2611","志信","4320000","146604300","34.50","34.70","33.50","33.60","-0.5500","2330"
"2612","中航","355000","16674100","47.55","47.55","46.70","46.90","-0.2500","191"
"2613","中櫃","9808000","453562650","47.50","47.85","45.00","45.05","-1.7500","5730"
"2614","東森","624000","12223300","19.55","19.65","19.45","19.65","0.1000","258"
"2615","萬海","93608000","8509537400","94.00","94.10","88.50","89.10","-3.7000","49420"
"2616","山隆","805000","19518800","24.70","24.70","24.00","24.10","-0.6000","538"
"2617","台航","1632000","59520950","36.65","36.75","36.20","36.40","-0.0500","818"
"2618","長榮航","31674000","1147094500","36.25","36.45","36.10","36.20","0.0500","9822"
"2630","亞航","546000","21448950","39.50","39.65","39.10","39.30","0.3000","323"
"2633","台灣高鐵","1599000","47864900","30.00","30.00","29.90","29.90","-0.1000","678"
"2634","漢翔","3383000","179386400","52.90","53.50","52.70","52.90","0.0000","1852"
"2636","台驊投控","1525000","152858100","101.00","101.50","99.50","100.00","0.0000","862"
"2637","慧洋-KY","6053000","420339600","70.50","70.70","69.00","69.10","-1.6000","3472"
"2642","宅配通","58000","2191100","37.60","38.00","37.60","37.70","0.1500","43"
"2645","長榮航太","924000","104643000","114.00","114.50","112.50","113.50","0.5000","602"
"2701","萬企","135000","1773050","13.15","13.20","13.10","13.10","0.0000","59"
"2702","華園","58000","1120700","19.35","19.35","19.25","19.35","0.0500","45"
"2704","國賓","719000","52103600","72.30","73.50","71.60","71.60","0.0000","501"
"2705","六福","355000","7206800","20.40","20.45","20.15","20.30","0.0000","195"
"2706","第一店","275000","4331500","15.70","15.80","15.65","15.70","0.0500","119"
"2707","晶華","465000","105082000","225.50","227.50","225.00","225.00","-2.5000","304"
"2712","遠雄來","20000","607300","30.40","30.50","30.30","30.35","0.0000","18"
"2722","夏都","184000","10958600","58.90","60.20","58.90","59.20","-0.1000","143"
"2723","美食-KY","735000","66912400","91.20","91.90","90.60","91.70","1.2000","445"
"2727","王品","289000","69239500","241.00","241.00","239.00","239.00","-1.0000","256"
"2731","雄獅","1510000","235782500","157.00","158.00","154.00","154.00","-1.5000","1071"
