"證券代號","證券名稱","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","漲跌幅"
"00640L","富邦日本正2","2508000","1.3927125E8","55.4","55.9","55.25","55.5","-1.95","798","-3.39"
"00657K","國泰日經225+U","200","2760.0","13.8","13.8","13.8","13.8","-0.32","2","-2.27"
"00925","新光標普電動車","259000","4006960.0","15.49","15.49","15.47","15.48","-0.33","24","-2.09"
"00899","FT潔淨能源","294000","5173070.0","17.82","17.82","17.5","17.58","-0.37","124","-2.06"
"00657","國泰日經225","900000","4.020664E7","45.08","45.08","44.56","44.72","-0.89","109","-1.95"
